x,y,made
25.0,41.75,False
22.7,35.35,False
24.6,16.35,False
25.0,41.75,False
24.3,40.25,True
8.7,22.85,False
25.0,41.75,False
25.0,41.75,True
25.0,41.75,False
32.5,28.25,False
35.0,41.95,False
26.0,41.35,True
26.8,35.45,False
17.0,24.15,True
0.8000000000000007,43.35,False
3.3000000000000007,29.15,True
37.7,20.95,False
40.7,33.25,True
32.0,16.35,True
25.0,41.75,True
6.600000000000001,24.25,False
11.4,20.15,True
29.5,27.45,False
24.9,42.75,False
41.8,38.75,False
18.9,34.65,False
10.9,19.85,True
11.5,26.15,True
11.8,21.65,False
21.4,40.55,True
25.7,40.35,True
40.2,22.55,False
26.1,38.05,True
36.9,32.15,True
28.7,26.45,False
10.7,28.25,False
25.0,41.75,False
14.2,40.85,False
25.0,41.75,False
25.0,41.75,True
33.1,27.15,False
25.0,41.75,False
25.0,41.75,True
42.9,37.35,True
2.6999999999999993,40.85,True
10.6,39.25,False
25.0,41.75,True
18.1,40.65,True
41.3,23.45,True
25.0,41.75,True
10.9,20.95,False
15.3,39.85,False
37.3,38.45,True
36.7,30.75,False
25.4,41.15,True
25.0,41.75,False
38.8,41.45,False
25.0,41.75,True
25.0,41.75,True
25.0,41.75,True
37.0,27.75,True
40.7,36.95,True
37.2,19.75,False
25.0,41.75,True
25.0,41.75,True
25.0,41.75,False
26.9,23.45,True
47.8,42.55,False
40.3,27.55,True
26.6,19.35,False
25.0,41.75,True
25.0,41.75,False
21.4,32.35,False
25.0,41.75,False
21.0,31.55,True
25.0,41.75,False
37.5,18.95,True
1.3999999999999986,41.95,False
24.1,41.75,True
25.0,41.75,False
17.0,24.95,False
25.0,41.75,False
5.800000000000001,24.55,True
25.0,41.75,False
25.0,41.75,False
18.5,38.65,True
25.4,25.75,False
25.0,41.75,False
39.1,20.35,False
36.2,16.75,False
25.0,41.75,False
30.2,35.75,False
25.0,41.75,False
25.0,41.75,False
24.6,35.45,True
25.0,41.75,False
13.9,26.05,False
44.0,39.55,True
19.9,16.05,False
24.6,38.45,True
33.4,26.65,True
24.1,41.65,True
28.2,40.05,False
34.0,39.25,True
9.1,38.95,False
25.0,41.75,True
23.2,15.45,False
