x,y,made
25.0,42.35,False
24.9,39.75,True
40.0,21.15,True
37.9,19.75,True
34.5,16.75,True
25.3,38.55,False
37.9,27.65,False
19.3,38.05,False
23.9,39.25,False
23.8,41.45,True
27.2,41.55,False
38.0,17.65,False
41.4,22.35,True
29.8,12.850000000000001,True
2.3000000000000007,41.15,False
18.8,38.15,True
20.4,36.25,False
24.8,40.15,True
24.4,40.95,False
38.4,34.35,True
17.9,40.15,False
25.7,38.15,False
27.2,40.05,True
2.6999999999999993,38.15,True
12.7,30.35,False
13.7,17.15,False
23.8,40.85,True
27.9,15.45,True
34.8,17.95,True
23.9,41.45,True
26.5,41.65,False
43.5,21.85,False
26.3,34.05,False
35.2,19.05,False
25.8,41.35,True
24.1,39.55,False
27.9,16.45,True
22.0,40.05,False
20.3,31.25,False
29.4,37.65,False
35.1,17.45,False
39.4,20.95,False
25.2,41.65,True
24.3,40.45,True
48.1,41.05,False
42.9,24.05,False
7.300000000000001,20.75,True
13.3,31.25,False
26.0,40.45,False
28.5,16.15,True
19.2,33.85,True
20.7,35.55,False
23.6,40.55,False
41.8,22.95,False
9.7,20.75,False
27.0,39.75,True
47.8,35.85,False
10.0,21.05,True
28.1,26.25,True
25.6,30.05,False
24.5,40.85,True
24.5,40.05,False
12.8,18.95,False
25.7,41.75,True
25.1,37.85,True
13.8,23.85,False
45.6,25.75,False
8.600000000000001,38.25,True
35.0,18.15,True
1.0,31.95,True
14.4,16.05,False
24.7,41.15,False
26.3,20.05,False
24.0,30.25,False
25.0,41.45,False
24.8,40.45,True
25.4,40.75,True
13.0,20.15,True
14.7,22.75,True
24.7,38.35,False
31.7,15.649999999999999,False
13.8,27.35,False
23.6,40.45,False
34.6,17.55,False
24.5,39.25,True
25.9,40.95,True
29.1,26.55,False
47.5,35.55,True
22.8,34.95,False
26.8,40.05,False
41.2,23.35,False
2.6999999999999993,41.65,True
25.4,42.45,True
43.5,23.45,True
25.0,42.35,True
28.6,23.65,True
25.6,41.15,True
44.5,27.05,False
25.0,39.05,False
44.5,24.45,True
41.5,17.05,False
24.8,41.15,True
11.3,20.15,True
32.7,37.95,False
25.8,16.05,False
26.9,40.95,False
13.8,18.05,False
22.8,35.55,True
37.2,18.85,True
25.8,41.25,True
2.3000000000000007,40.65,False
22.3,39.65,True
30.5,18.15,False
23.0,39.95,True
19.6,29.05,False
7.0,23.75,False
48.1,34.65,False
8.399999999999999,22.75,True
5.199999999999999,26.65,False
23.8,40.35,True
38.5,27.05,False
24.7,40.25,True
9.1,21.25,False
25.4,41.45,False
19.8,32.75,False
7.600000000000001,23.95,False
